Using launch settings from src\PoLocalCompare.Api\Properties\launchSettings.json...
Building...
[10:12:55 INF] Ensured Azure Table Storage table exists: Models
[10:12:55 INF] Ensured Azure Table Storage table exists: Duels
[10:12:55 INF] Ensured Azure Table Storage table exists: DuelResults
[10:12:55 INF] Ensured Azure Table Storage table exists: EloHistory
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.Csp.20t5iw27a6.wasm responded 200 in 7.2001 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.Algorithms.4dnz7b15a9.wasm responded 200 in 7.4780 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Claims.9n1yusa5e5.wasm responded 200 in 7.5942 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.AccessControl.4mxo8hy5cn.wasm responded 200 in 7.5839 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.Cng.dyaxkkx3lb.wasm responded 200 in 7.5892 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.Encoding.0lu5m0tfx2.wasm responded 200 in 8.3489 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.Primitives.7bcdd4uolu.wasm responded 200 in 6.7344 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Principal.Windows.7ssqvw2wfy.wasm responded 200 in 6.3026 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.OpenSsl.4m4pzjxi3g.wasm responded 200 in 6.7346 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.X509Certificates.dmew7c9amv.wasm responded 200 in 7.1888 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Principal.j5dp7k8x6u.wasm responded 200 in 6.3104 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.snpv53zusk.wasm responded 200 in 6.3869 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.SecureString.7weoywtuje.wasm responded 200 in 6.3748 ms
[10:14:02 INF] HTTP GET /_framework/System.ServiceProcess.a95c1olw0i.wasm responded 200 in 6.0968 ms
[10:14:02 INF] HTTP GET /_framework/System.ServiceModel.Web.3f1khl8k32.wasm responded 200 in 6.4958 ms
[10:14:02 INF] HTTP GET /_framework/System.Security.Cryptography.5rp84ijz8t.wasm responded 200 in 17.1579 ms
[10:14:02 INF] HTTP GET /_framework/System.Text.Encoding.s9ic8sulfi.wasm responded 200 in 6.6795 ms
[10:14:02 INF] HTTP GET /_framework/System.Text.Encodings.Web.07hq35kp92.wasm responded 200 in 6.6262 ms
[10:14:02 INF] HTTP GET /_framework/System.Text.Encoding.Extensions.tqz9dyg6j7.wasm responded 200 in 6.6746 ms
[10:14:02 INF] HTTP GET /_framework/System.Text.Encoding.CodePages.8bhn50uz8f.wasm responded 200 in 13.7910 ms
[10:14:02 INF] HTTP GET /_framework/System.Text.RegularExpressions.h1qtkesphd.wasm responded 200 in 12.4599 ms
[10:14:02 INF] HTTP GET /_framework/System.Text.Json.2alhj4y3bm.wasm responded 200 in 14.6231 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.Overlapped.lzl7igry1t.wasm responded 200 in 6.0490 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.AccessControl.ruehy0ud5k.wasm responded 200 in 6.7882 ms
